# file...... 1Meter_632_C_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_C_20:measured_power.real,house_meter_632_C_21:measured_power.real,house_meter_632_C_22:measured_power.real,house_meter_632_C_23:measured_power.real,house_meter_632_C_24:measured_power.real,house_meter_632_C_25:measured_power.real,house_meter_632_C_26:measured_power.real,house_meter_632_C_27:measured_power.real,house_meter_632_C_28:measured_power.real,house_meter_632_C_29:measured_power.real,house_meter_632_C_30:measured_power.real,house_meter_632_C_31:measured_power.real,house_meter_632_C_32:measured_power.real,house_meter_632_C_33:measured_power.real,house_meter_632_C_34:measured_power.real,house_meter_632_C_35:measured_power.real,house_meter_632_C_36:measured_power.real,house_meter_632_C_37:measured_power.real,house_meter_632_C_38:measured_power.real,house_meter_632_C_39:measured_power.real,house_meter_632_C_40:measured_power.real
2021-01-09 00:15:00 UTC,2.4001e+02,1.6005e+03,2.8002e+02,1.6001e+02,1.2003e+03,2.0001e+02,1.2000e+02,4.8005e+02,2.8002e+02,2.8002e+02,2.0001e+02,1.6001e+02,2.0001e+02,2.4001e+02,2.8002e+02,4.8005e+02,2.4001e+02,1.6001e+02,1.6001e+02,2.0001e+02,2.8002e+02
2021-01-09 00:30:00 UTC,2.4001e+02,2.4001e+02,2.0001e+02,1.4804e+03,9.2017e+02,2.0001e+02,2.0008e+03,7.2011e+02,3.2002e+02,2.4001e+02,2.0001e+02,2.4001e+02,2.0001e+02,1.6001e+02,2.0001e+02,4.4004e+02,2.8002e+02,2.0001e+02,1.6001e+02,1.6001e+02,2.4001e+02
2021-01-09 00:45:00 UTC,1.2000e+02,1.6001e+02,2.4001e+02,1.2000e+02,2.0001e+02,1.2000e+02,1.2000e+02,2.4001e+02,8.8016e+02,3.6003e+02,2.0001e+02,1.6001e+02,1.6001e+02,2.4001e+02,1.6001e+02,6.0007e+02,1.6001e+02,2.4001e+02,2.0001e+02,2.4001e+02,2.0001e+02
2021-01-09 01:00:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,1.6001e+02,2.0001e+02,1.6001e+02,1.6001e+02,1.6001e+02,1.0802e+03,2.4001e+02,1.6001e+02,2.8002e+02,2.0001e+02,2.0001e+02,2.4001e+02,3.6003e+02,2.8002e+02,1.6001e+02,1.6001e+02,2.8002e+02,1.6001e+02
2021-01-09 01:15:00 UTC,1.2000e+02,1.6001e+02,2.0001e+02,8.0001e+01,1.6001e+02,1.2000e+02,1.2000e+02,2.0001e+02,2.0001e+02,3.2002e+02,2.4001e+02,1.6001e+02,2.8002e+02,3.2002e+02,1.6001e+02,4.4004e+02,3.2002e+02,2.0001e+02,2.8002e+02,2.0001e+02,2.0001e+02
2021-01-09 01:30:00 UTC,2.0001e+02,1.6001e+02,1.4804e+03,1.6001e+02,1.6001e+02,2.0001e+02,1.2000e+02,1.2000e+02,2.4001e+02,3.6003e+02,1.6001e+02,2.0001e+02,1.2000e+02,2.0001e+02,2.0001e+02,4.0003e+02,2.0001e+02,3.2002e+02,3.2002e+02,1.6001e+02,1.6001e+02
2021-01-09 01:45:00 UTC,1.2000e+02,1.2000e+02,5.6006e+02,1.6001e+02,1.6001e+02,1.6001e+02,8.0001e+01,1.6001e+02,8.8016e+02,3.6003e+02,2.8002e+02,1.6001e+02,2.4001e+02,2.0001e+02,2.0001e+02,4.4004e+02,2.4001e+02,2.8002e+02,2.0001e+02,2.0001e+02,2.0001e+02
2021-01-09 02:00:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,1.6001e+02,8.0001e+01,1.3604e+03,2.0001e+02,8.0001e+01,3.6003e+02,2.4001e+02,2.8002e+02,2.0001e+02,1.2000e+02,2.0001e+02,2.0001e+02,4.0003e+02,1.6001e+02,2.0001e+02,2.0001e+02,2.0001e+02,2.4001e+02
2021-01-09 02:15:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,6.4008e+02,2.0001e+02,2.0001e+02,1.2000e+02,2.8002e+02,2.0001e+02,1.6001e+02,1.6001e+02,1.6001e+02,2.8002e+02,4.4004e+02,2.8002e+02,1.6001e+02,1.6001e+02,2.0001e+02,3.2002e+02
2021-01-09 02:30:00 UTC,1.6001e+02,2.0001e+02,1.6001e+02,8.0001e+01,2.0001e+02,1.2000e+02,8.0001e+01,8.4014e+02,1.6001e+02,3.2002e+02,1.6001e+02,2.8002e+02,1.2000e+02,2.0001e+02,2.4001e+02,5.2006e+02,1.6001e+02,2.8002e+02,1.6001e+02,1.6001e+02,2.0001e+02
2021-01-09 02:45:00 UTC,1.2000e+02,8.0001e+01,8.0001e+01,1.2000e+02,8.0001e+01,1.6001e+02,1.2000e+02,4.4004e+02,1.6001e+02,2.8002e+02,2.4001e+02,2.4001e+02,2.0001e+02,1.6001e+02,1.6001e+02,3.6003e+02,3.2002e+02,2.0001e+02,1.6001e+02,2.8002e+02,2.0001e+02
2021-01-09 03:00:00 UTC,1.6001e+02,1.2000e+02,1.6001e+02,2.0001e+02,1.2000e+02,1.2000e+02,8.0001e+01,1.6001e+02,8.0001e+01,3.2002e+02,1.6001e+02,1.2000e+02,2.0001e+02,3.2002e+02,1.6001e+02,4.8005e+02,2.4001e+02,1.6001e+02,2.0001e+02,2.4001e+02,1.2000e+02
2021-01-09 03:15:00 UTC,1.2000e+02,1.2000e+02,2.4001e+02,1.2000e+02,1.2000e+02,2.0001e+02,2.0001e+02,1.6001e+02,1.2000e+02,4.0003e+02,1.6001e+02,2.0001e+02,4.4004e+02,2.0001e+02,2.4001e+02,4.0003e+02,2.4001e+02,2.4001e+02,1.2000e+02,2.0001e+02,2.8002e+02
2021-01-09 03:30:00 UTC,1.6001e+02,1.6001e+02,8.0001e+01,1.2000e+02,1.6001e+02,1.6001e+02,1.6001e+02,4.0003e+02,1.6001e+02,2.4001e+02,1.6001e+02,1.2000e+02,1.6001e+02,2.0001e+02,2.0001e+02,4.0003e+02,1.6001e+02,1.6001e+02,2.0001e+02,1.6001e+02,1.2000e+02
2021-01-09 03:45:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,1.7606e+03,1.6001e+02,8.0001e+01,2.4001e+02,1.2000e+02,3.2002e+02,2.8002e+02,2.4001e+02,2.8002e+02,1.6001e+02,2.8002e+02,4.4004e+02,2.8002e+02,2.0001e+02,1.6001e+02,2.4001e+02,2.0001e+02
2021-01-09 04:00:00 UTC,1.2000e+02,1.9208e+03,8.0001e+01,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,2.4001e+02,1.6001e+02,2.4001e+02,2.4001e+02,2.4001e+02,3.2002e+02,2.4001e+02,2.0001e+02,4.0003e+02,2.0001e+02,2.8002e+02,3.2002e+02,1.6001e+02,2.8002e+02
2021-01-09 04:15:00 UTC,8.0013e+02,1.6001e+02,1.6001e+02,1.6001e+02,1.6001e+02,2.0001e+02,1.2000e+02,1.2000e+02,1.2000e+02,3.2002e+02,2.8002e+02,5.6006e+02,8.0001e+01,1.6001e+02,3.2002e+02,5.6006e+02,2.0001e+02,4.4004e+02,2.8002e+02,1.6001e+02,2.0001e+02
2021-01-09 04:30:00 UTC,8.8016e+02,8.0001e+01,1.6001e+02,8.0001e+01,1.2000e+02,1.6001e+02,1.6001e+02,3.2002e+02,8.0001e+01,5.6006e+02,2.4001e+02,8.4014e+02,7.2011e+02,6.8009e+02,2.0001e+02,3.6003e+02,3.2002e+02,2.4001e+02,1.6001e+02,2.0001e+02,2.4001e+02
2021-01-09 04:45:00 UTC,1.2000e+02,1.2000e+02,8.0001e+01,1.2000e+02,1.6001e+02,1.6001e+02,6.4008e+02,8.0013e+02,2.0001e+02,1.2403e+03,2.0001e+02,1.0402e+03,1.2803e+03,1.2403e+03,2.0001e+02,4.4004e+02,3.6003e+02,3.6003e+02,4.4004e+02,3.2002e+02,1.0402e+03
2021-01-09 05:00:00 UTC,1.6001e+02,1.6001e+02,1.2000e+02,2.4001e+02,8.0001e+01,1.6001e+02,6.4008e+02,4.0003e+02,8.0001e+01,7.6012e+02,1.2000e+02,4.4004e+02,9.6019e+02,1.6806e+03,1.6001e+02,4.0003e+02,1.2003e+03,2.8002e+02,1.2000e+02,2.0001e+02,1.0802e+03
2021-01-09 05:15:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,8.0001e+01,1.2000e+02,8.0001e+01,1.2000e+02,1.2000e+02,1.2000e+02,8.4014e+02,8.0013e+02,5.6006e+02,8.4014e+02,1.9208e+03,3.6003e+02,7.6012e+02,8.8016e+02,2.8002e+02,2.4001e+02,1.6001e+02,8.4014e+02
2021-01-09 05:30:00 UTC,2.0001e+02,1.2000e+02,1.6001e+02,1.6005e+03,1.6001e+02,2.4001e+02,1.9608e+03,1.2000e+02,1.2000e+02,6.8009e+02,1.3204e+03,8.8016e+02,8.8016e+02,7.6012e+02,1.3604e+03,1.6005e+03,7.6012e+02,2.4001e+02,1.6001e+02,1.6001e+02,5.2006e+02
2021-01-09 05:45:00 UTC,1.2000e+02,1.2000e+02,1.6001e+02,1.2000e+02,1.6001e+02,1.6001e+02,2.8002e+02,1.2000e+02,7.2011e+02,5.6006e+02,7.6012e+02,5.6006e+02,6.8009e+02,1.0802e+03,8.8016e+02,1.2003e+03,7.2011e+02,1.6001e+02,4.8005e+02,2.4001e+02,5.6006e+02
2021-01-09 06:00:00 UTC,1.2000e+02,1.2000e+02,1.6001e+02,1.2000e+02,8.0001e+01,8.0001e+01,8.0001e+01,1.9208e+03,5.6006e+02,5.2006e+02,6.8009e+02,6.4008e+02,9.2017e+02,1.7206e+03,6.4008e+02,8.8016e+02,7.6012e+02,4.4004e+02,1.2000e+02,1.2000e+02,6.0007e+02
2021-01-09 06:15:00 UTC,1.2000e+02,1.6001e+02,1.2000e+02,1.6001e+02,1.2000e+02,1.6001e+02,1.6001e+02,1.2000e+02,1.2000e+02,1.8807e+03,1.1203e+03,2.0809e+03,1.7206e+03,1.3604e+03,9.6019e+02,7.2011e+02,6.8009e+02,1.4004e+03,2.0001e+02,2.0001e+02,1.0002e+03
2021-01-09 06:30:00 UTC,1.2000e+02,1.2000e+02,8.0001e+01,1.2000e+02,1.2000e+02,2.4001e+02,8.0001e+01,8.0001e+01,1.0802e+03,1.6005e+03,6.4008e+02,1.3604e+03,9.2017e+02,1.2003e+03,1.1603e+03,1.1603e+03,8.8016e+02,9.2017e+02,2.8002e+02,2.4001e+02,1.0002e+03
2021-01-09 06:45:00 UTC,2.0001e+02,8.0001e+01,1.2000e+02,8.0001e+01,1.6001e+02,8.0001e+01,5.2006e+02,4.0003e+02,7.6012e+02,8.4014e+02,1.1603e+03,7.2011e+02,1.1203e+03,8.4014e+02,1.1603e+03,7.2011e+02,9.6019e+02,6.0007e+02,1.2803e+03,2.8002e+02,6.8009e+02
2021-01-09 07:00:00 UTC,1.2000e+02,1.6001e+02,2.0001e+02,1.6001e+02,1.2000e+02,2.0001e+02,8.0013e+02,8.8016e+02,1.2000e+02,6.4008e+02,8.4014e+02,1.5605e+03,8.0013e+02,1.2003e+03,8.0013e+02,5.6006e+02,1.0402e+03,6.8009e+02,1.0002e+03,3.2002e+02,9.6019e+02
2021-01-09 07:15:00 UTC,5.2006e+02,2.0001e+02,8.0001e+01,1.2000e+02,8.0001e+01,1.6001e+02,2.0001e+02,2.4001e+02,1.6001e+02,4.4004e+02,5.6006e+02,1.6406e+03,1.4004e+03,1.2003e+03,8.8016e+02,1.0002e+03,1.0402e+03,6.0007e+02,8.4015e+02,1.2403e+03,8.4015e+02
2021-01-09 07:30:00 UTC,7.2011e+02,1.2000e+02,1.2000e+02,1.6001e+02,1.6001e+02,1.6001e+02,8.0001e+01,1.2000e+02,8.0001e+01,4.8005e+02,1.0002e+03,7.6012e+02,9.6019e+02,1.0802e+03,4.8005e+02,1.0802e+03,1.7606e+03,9.6019e+02,9.6019e+02,9.6019e+02,1.0802e+03
2021-01-09 07:45:00 UTC,2.0001e+02,1.2000e+02,8.0013e+02,8.0001e+01,1.2000e+02,1.6001e+02,1.6001e+02,8.0001e+01,1.2000e+02,9.2018e+02,6.0007e+02,9.2018e+02,8.8016e+02,5.2006e+02,2.4001e+02,1.0402e+03,1.4805e+03,9.6019e+02,8.0013e+02,8.8016e+02,1.6806e+03
2021-01-09 08:00:00 UTC,1.2000e+02,8.0001e+01,1.4004e+03,1.2000e+02,1.2000e+02,8.0001e+01,1.2000e+02,1.6001e+02,2.0001e+02,2.0409e+03,1.8407e+03,8.4015e+02,1.0402e+03,8.0013e+02,2.4001e+02,9.6019e+02,1.2403e+03,9.2018e+02,1.9208e+03,1.9208e+03,6.4009e+02
2021-01-09 08:15:00 UTC,8.0001e+01,1.6001e+02,1.2000e+02,2.0001e+02,1.2000e+02,4.0003e+02,1.2000e+02,1.2000e+02,8.0001e+01,1.1203e+03,1.1603e+03,1.3604e+03,7.2011e+02,6.4009e+02,2.4001e+02,3.2002e+02,2.2410e+03,1.5605e+03,1.1603e+03,1.1603e+03,1.0002e+03
2021-01-09 08:30:00 UTC,1.2000e+02,1.6001e+02,1.2000e+02,8.0001e+01,1.2000e+02,1.8007e+03,2.0001e+02,1.2000e+02,1.2000e+02,6.4008e+02,6.4008e+02,4.8005e+02,6.0007e+02,2.4001e+02,6.8010e+02,4.0003e+02,1.4004e+03,1.4805e+03,6.8010e+02,1.3204e+03,4.8005e+02
2021-01-09 08:45:00 UTC,2.0001e+02,8.0001e+01,1.2000e+02,1.2000e+02,2.0001e+02,1.2000e+02,2.0001e+02,1.2000e+02,1.6001e+02,5.6006e+02,1.9608e+03,5.2006e+02,1.0802e+03,2.8002e+02,1.5605e+03,3.2002e+02,9.6019e+02,7.6012e+02,1.2803e+03,1.2803e+03,1.6806e+03
2021-01-09 09:00:00 UTC,8.0001e+01,1.2000e+02,1.2000e+02,8.0001e+01,1.8007e+03,1.6001e+02,8.0013e+02,5.2006e+02,1.6001e+02,5.2006e+02,9.2017e+02,4.8005e+02,8.8016e+02,7.6012e+02,5.6006e+02,4.0003e+02,1.0402e+03,7.2011e+02,2.3211e+03,1.7206e+03,1.2403e+03
2021-01-09 09:15:00 UTC,1.6001e+02,1.2000e+02,2.0001e+02,2.0001e+02,2.4001e+02,1.6001e+02,4.8005e+02,8.4014e+02,8.0001e+01,9.6019e+02,1.0802e+03,6.0007e+02,1.0802e+03,1.0402e+03,6.0007e+02,9.6019e+02,6.4008e+02,1.7606e+03,1.4004e+03,7.2011e+02,1.0802e+03
2021-01-09 09:30:00 UTC,1.2000e+02,1.9208e+03,8.0001e+01,1.2000e+02,1.6001e+02,1.6001e+02,8.0001e+01,1.2000e+02,1.6001e+02,1.0802e+03,8.8016e+02,4.0003e+02,1.1203e+03,1.2403e+03,6.4008e+02,1.3204e+03,8.4014e+02,1.2403e+03,1.0002e+03,1.0002e+03,6.8009e+02
2021-01-09 09:45:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,8.0001e+01,2.8002e+02,1.2000e+02,2.0001e+02,1.2000e+02,1.2000e+02,6.8009e+02,6.4008e+02,1.4804e+03,8.4014e+02,9.2017e+02,2.2811e+03,1.0002e+03,9.2017e+02,9.6019e+02,1.4805e+03,8.0013e+02,6.8009e+02
2021-01-09 10:00:00 UTC,1.6005e+03,8.0001e+01,1.6001e+02,2.4001e+02,1.6001e+02,1.6001e+02,1.2000e+02,8.0001e+01,1.6001e+02,3.6003e+02,5.2006e+02,1.0002e+03,7.6012e+02,7.6012e+02,1.3204e+03,7.2011e+02,1.0002e+03,1.5605e+03,9.6019e+02,5.2006e+02,6.8010e+02
2021-01-09 10:15:00 UTC,3.2002e+02,1.6001e+02,1.2000e+02,8.0001e+01,1.6001e+02,2.4001e+02,8.0001e+01,2.0001e+02,7.6012e+02,2.4001e+02,5.6006e+02,9.2017e+02,4.0003e+02,1.4805e+03,9.2017e+02,9.6019e+02,1.4404e+03,1.8407e+03,3.2021e+03,8.4014e+02,1.3604e+03
2021-01-09 10:30:00 UTC,1.6001e+02,1.6001e+02,1.2000e+02,1.2000e+02,2.0001e+02,1.2000e+02,1.2000e+02,1.6001e+02,3.6003e+02,2.4001e+02,3.6003e+02,7.2011e+02,5.2006e+02,1.8807e+03,1.2803e+03,1.2803e+03,1.0402e+03,1.0002e+03,1.7206e+03,1.1203e+03,7.2011e+02
2021-01-09 10:45:00 UTC,1.6001e+02,8.0001e+01,1.2000e+02,1.2000e+02,2.4001e+02,1.6001e+02,1.6001e+02,8.0001e+01,1.2000e+02,2.8002e+02,4.4004e+02,6.4008e+02,6.4008e+02,1.0002e+03,1.1203e+03,8.4015e+02,8.4015e+02,9.6019e+02,1.5205e+03,1.2803e+03,9.6019e+02
2021-01-09 11:00:00 UTC,1.6001e+02,1.6001e+02,1.2000e+02,1.2000e+02,2.0008e+03,1.2000e+02,2.1209e+03,1.2000e+02,1.6001e+02,2.8002e+02,6.4008e+02,7.2011e+02,5.2006e+02,1.0002e+03,1.0402e+03,9.6019e+02,1.3204e+03,1.1603e+03,2.4012e+03,8.8016e+02,8.4015e+02
2021-01-09 11:15:00 UTC,5.6006e+02,1.6001e+02,1.6001e+02,1.6001e+02,4.4040e+03,1.6001e+02,1.6001e+02,3.2002e+02,1.2000e+02,3.6003e+02,7.6012e+02,7.6012e+02,7.2011e+02,1.4004e+03,8.8016e+02,9.2017e+02,1.0002e+03,1.4404e+03,1.4805e+03,1.1603e+03,8.0013e+02
2021-01-09 11:30:00 UTC,6.4008e+02,1.6001e+02,1.2000e+02,8.4014e+02,4.3639e+03,2.0001e+02,6.4008e+02,8.8016e+02,1.6001e+02,3.2002e+02,2.9218e+03,6.4008e+02,1.0802e+03,6.8009e+02,1.1203e+03,6.0007e+02,1.1203e+03,1.2003e+03,1.2003e+03,8.4014e+02,2.4001e+02
2021-01-09 11:45:00 UTC,1.6001e+02,1.2000e+02,1.2000e+02,1.0802e+03,4.4004e+02,8.0001e+01,6.4008e+02,2.8002e+02,2.4001e+02,6.8009e+02,2.4412e+03,6.8009e+02,5.6006e+02,9.6019e+02,1.3604e+03,4.8005e+02,1.6806e+03,1.5205e+03,1.3204e+03,7.2011e+02,2.0001e+02
2021-01-09 12:00:00 UTC,1.2000e+02,1.2000e+02,1.2000e+02,1.2000e+02,1.6001e+02,1.6001e+02,1.2000e+02,1.2000e+02,2.4001e+02,7.6012e+02,3.1220e+03,6.8010e+02,8.0013e+02,6.8010e+02,1.2003e+03,3.6003e+02,1.5205e+03,1.8007e+03,1.0002e+03,8.0013e+02,2.4001e+02
2021-01-09 12:15:00 UTC,1.6001e+02,3.9632e+03,1.6005e+03,1.6001e+02,1.6001e+02,1.6001e+02,3.9632e+03,1.6406e+03,2.0001e+02,1.7606e+03,1.8007e+03,6.0007e+02,1.0402e+03,1.0002e+03,8.8016e+02,2.8002e+02,7.2011e+02,1.2803e+03,1.1603e+03,9.2017e+02,2.4001e+02
2021-01-09 12:30:00 UTC,2.0008e+03,4.6044e+03,4.4842e+03,1.2000e+02,1.2000e+02,2.0001e+02,4.4040e+03,1.0802e+03,1.6001e+02,6.4008e+02,2.1209e+03,7.2011e+02,1.2803e+03,5.2006e+02,9.2017e+02,4.8005e+02,3.2002e+02,1.6005e+03,1.8807e+03,8.0013e+02,3.6003e+02
2021-01-09 12:45:00 UTC,4.3239e+03,4.2036e+03,4.4441e+03,8.0001e+01,1.4404e+03,2.0001e+02,4.6845e+03,2.8002e+02,2.4001e+02,8.8016e+02,1.1603e+03,7.2011e+02,1.4004e+03,6.0007e+02,1.4004e+03,2.8002e+02,1.1603e+03,1.6005e+03,7.2011e+02,6.0007e+02,4.0003e+02
2021-01-09 13:00:00 UTC,4.2838e+03,8.0013e+02,3.8831e+03,1.2000e+02,4.8005e+02,1.6806e+03,2.2811e+03,2.8002e+02,2.7616e+03,8.0013e+02,1.0402e+03,7.2011e+02,2.2010e+03,2.4001e+02,1.4004e+03,3.6003e+02,7.2011e+02,1.9208e+03,9.2017e+02,1.1203e+03,1.0002e+03
2021-01-09 13:15:00 UTC,1.8007e+03,8.4015e+02,1.0402e+03,1.6001e+02,8.0001e+01,5.2457e+03,2.0001e+02,3.2002e+02,1.0002e+03,7.2011e+02,8.8016e+02,1.5605e+03,1.7206e+03,6.0007e+02,1.3204e+03,2.4001e+02,7.2011e+02,1.4805e+03,7.6012e+02,9.2017e+02,6.4008e+02
2021-01-09 13:30:00 UTC,1.6001e+02,1.0402e+03,1.0002e+03,1.2000e+02,1.6001e+02,4.8448e+03,2.8002e+02,3.6003e+02,9.2017e+02,6.0007e+02,8.0013e+02,8.8016e+02,1.4404e+03,4.4004e+02,1.3204e+03,3.6003e+02,1.4004e+03,1.5205e+03,9.6019e+02,1.3604e+03,2.4001e+02
2021-01-09 13:45:00 UTC,1.6001e+02,4.0003e+02,8.8016e+02,2.0001e+02,1.2000e+02,4.4841e+03,2.4001e+02,2.4001e+02,9.2017e+02,1.2003e+03,1.0402e+03,6.4008e+02,1.2803e+03,8.0013e+02,1.2803e+03,2.8002e+02,1.8407e+03,1.2803e+03,8.8016e+02,8.0013e+02,2.0001e+02
2021-01-09 14:00:00 UTC,1.6001e+02,2.4001e+02,8.8016e+02,1.2003e+03,1.2000e+02,1.6806e+03,2.8002e+02,8.8016e+02,1.0002e+03,1.2403e+03,1.0402e+03,9.6019e+02,1.4805e+03,5.6006e+02,1.0002e+03,4.0003e+02,1.1603e+03,2.1610e+03,1.4805e+03,1.2003e+03,5.6006e+02
2021-01-09 14:15:00 UTC,1.6001e+02,1.8407e+03,2.6414e+03,1.0402e+03,1.6001e+02,2.0008e+03,2.0008e+03,1.4002e+03,7.2011e+02,7.6012e+02,9.6019e+02,5.6006e+02,1.3204e+03,8.0013e+02,1.0802e+03,3.6003e+02,6.0007e+02,8.0013e+02,1.2403e+03,1.3204e+03,6.0007e+02
2021-01-09 14:30:00 UTC,1.7606e+03,3.2002e+02,4.0003e+02,8.8016e+02,1.2000e+02,4.8048e+03,2.0001e+02,3.6423e+03,3.2002e+02,6.0007e+02,6.0007e+02,4.8005e+02,1.1603e+03,1.4805e+03,1.2003e+03,3.2002e+02,7.2011e+02,7.2011e+02,8.8016e+02,1.2803e+03,4.8005e+02
2021-01-09 14:45:00 UTC,6.4008e+02,2.8002e+02,2.8002e+02,1.0002e+03,8.0001e+01,4.7246e+03,2.4001e+02,2.6012e+03,3.6003e+02,4.0003e+02,5.2006e+02,4.8005e+02,1.8407e+03,1.2803e+03,1.5605e+03,3.2002e+02,8.0013e+02,5.2006e+02,1.0002e+03,1.0802e+03,4.4004e+02
2021-01-09 15:00:00 UTC,3.2002e+02,8.0013e+02,3.2002e+02,8.8016e+02,1.5605e+03,4.5643e+03,2.4001e+02,9.6010e+02,3.2002e+02,6.4008e+02,5.2006e+02,5.2006e+02,2.1209e+03,1.3204e+03,2.1209e+03,2.8002e+02,7.2011e+02,1.1203e+03,2.0809e+03,1.2003e+03,1.0802e+03
2021-01-09 15:15:00 UTC,3.6003e+02,7.2011e+02,4.0003e+02,9.6019e+02,1.6001e+02,2.8817e+03,3.2002e+02,3.6003e+02,4.4004e+02,9.2018e+02,7.6012e+02,1.0802e+03,1.7606e+03,1.3204e+03,1.0002e+03,4.0003e+02,1.3204e+03,1.1603e+03,1.4404e+03,1.3204e+03,1.4004e+03
2021-01-09 15:30:00 UTC,3.2002e+02,3.6003e+02,6.8010e+02,9.6019e+02,1.2000e+02,2.4001e+02,2.4001e+02,2.8002e+02,6.8010e+02,2.2811e+03,4.4004e+02,1.1203e+03,1.6806e+03,6.8010e+02,8.4015e+02,2.8002e+02,1.3604e+03,7.2011e+02,1.1203e+03,1.3604e+03,1.3204e+03
2021-01-09 15:45:00 UTC,4.4004e+02,2.8002e+02,4.4004e+02,2.3211e+03,8.0001e+01,2.8002e+02,2.8002e+02,2.8002e+02,1.0402e+03,7.2011e+02,1.0802e+03,1.4805e+03,1.7606e+03,1.6406e+03,1.3204e+03,4.8005e+02,1.1603e+03,5.2006e+02,1.2403e+03,1.0002e+03,1.2003e+03
2021-01-09 16:00:00 UTC,4.0003e+02,2.4001e+02,2.0001e+02,4.0003e+02,2.0001e+02,3.6003e+02,2.0001e+02,3.6003e+02,5.2006e+02,7.2011e+02,6.8010e+02,1.2403e+03,1.2403e+03,1.3604e+03,6.8010e+02,2.8002e+02,1.8807e+03,8.0013e+02,8.0013e+02,1.4404e+03,1.3604e+03
2021-01-09 16:15:00 UTC,3.6003e+02,3.2002e+02,2.4001e+02,3.2002e+02,8.0001e+01,2.8002e+02,9.2018e+02,3.6003e+02,3.6003e+02,1.2003e+03,5.2006e+02,1.0802e+03,1.4805e+03,1.3204e+03,1.3204e+03,6.8010e+02,2.1610e+03,5.2006e+02,1.1203e+03,1.4805e+03,1.3204e+03
2021-01-09 16:30:00 UTC,3.2002e+02,1.7206e+03,1.6406e+03,7.2011e+02,1.2000e+02,4.0003e+02,1.1603e+03,3.6003e+02,3.6003e+02,1.4004e+03,1.0402e+03,1.0802e+03,9.2018e+02,9.2018e+02,8.8016e+02,1.3604e+03,1.5205e+03,6.0007e+02,9.6019e+02,1.2003e+03,1.2003e+03
2021-01-09 16:45:00 UTC,1.6406e+03,3.2002e+02,1.6001e+02,9.2018e+02,1.2000e+02,2.4001e+02,2.8002e+02,9.6019e+02,3.6003e+02,1.1203e+03,1.3204e+03,8.8016e+02,1.0802e+03,1.0802e+03,4.8005e+02,1.0802e+03,1.6806e+03,8.8016e+02,1.2403e+03,1.4004e+03,1.1203e+03
2021-01-09 17:00:00 UTC,2.8002e+02,4.8005e+02,2.8002e+02,4.8005e+02,1.2000e+02,2.2410e+03,8.8016e+02,1.0402e+03,4.0003e+02,1.0802e+03,1.5205e+03,1.5205e+03,1.4805e+03,1.4805e+03,4.8005e+02,1.8407e+03,1.5205e+03,7.2011e+02,1.7606e+03,1.2803e+03,1.4805e+03
2021-01-09 17:15:00 UTC,2.8002e+02,9.2017e+02,1.6001e+02,3.6003e+02,1.6001e+02,2.8002e+02,4.0003e+02,4.0003e+02,2.2811e+03,1.4404e+03,2.0409e+03,2.5213e+03,1.2803e+03,1.5205e+03,5.6006e+02,1.0402e+03,1.3204e+03,1.3204e+03,1.1203e+03,1.4404e+03,1.2803e+03
2021-01-09 17:30:00 UTC,5.2006e+02,4.4004e+02,1.6001e+02,2.8002e+02,2.4001e+02,3.2002e+02,2.0001e+02,3.2002e+02,1.1603e+03,1.0402e+03,1.3604e+03,2.1610e+03,1.5605e+03,1.0402e+03,6.0007e+02,1.1203e+03,1.7606e+03,1.8807e+03,1.4805e+03,2.3612e+03,1.0802e+03
2021-01-09 17:45:00 UTC,8.8016e+02,2.4001e+02,1.6001e+02,4.0003e+02,9.6019e+02,8.0013e+02,1.6001e+02,2.8002e+02,1.6806e+03,1.0402e+03,9.6019e+02,1.2403e+03,1.0802e+03,1.3204e+03,4.4004e+02,8.8016e+02,2.5213e+03,1.6806e+03,1.7206e+03,2.5213e+03,9.2018e+02
2021-01-09 18:00:00 UTC,3.6003e+02,3.2002e+02,2.0001e+02,7.6012e+02,6.4008e+02,9.2018e+02,2.4001e+02,3.2002e+02,1.5205e+03,1.4404e+03,8.8016e+02,1.0402e+03,1.0802e+03,8.8016e+02,4.4004e+02,6.0007e+02,3.0419e+03,1.6406e+03,9.2018e+02,2.2811e+03,9.6019e+02
2021-01-09 18:15:00 UTC,2.4001e+02,5.6006e+02,2.0001e+02,9.6019e+02,1.8007e+03,1.0002e+03,1.6001e+02,1.9608e+03,7.2011e+02,1.4805e+03,8.4015e+02,8.8016e+02,1.6406e+03,1.2403e+03,4.0003e+02,6.8010e+02,2.5213e+03,1.0802e+03,1.0402e+03,1.0802e+03,8.0013e+02
