# file...... 1Meter_633_B_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_633_B_20:measured_power.real,house_meter_633_B_21:measured_power.real,house_meter_633_B_22:measured_power.real,house_meter_633_B_23:measured_power.real,house_meter_633_B_24:measured_power.real,house_meter_633_B_25:measured_power.real,house_meter_633_B_26:measured_power.real,house_meter_633_B_27:measured_power.real,house_meter_633_B_28:measured_power.real,house_meter_633_B_29:measured_power.real,house_meter_633_B_30:measured_power.real,house_meter_633_B_31:measured_power.real,house_meter_633_B_32:measured_power.real,house_meter_633_B_33:measured_power.real,house_meter_633_B_34:measured_power.real,house_meter_633_B_35:measured_power.real,house_meter_633_B_36:measured_power.real,house_meter_633_B_37:measured_power.real,house_meter_633_B_38:measured_power.real,house_meter_633_B_39:measured_power.real,house_meter_633_B_40:measured_power.real
2021-01-06 03:30:00 UTC,1.2000e+02,1.2403e+03,1.3203e+03,1.0802e+03,1.1603e+03,1.2003e+03,1.8006e+03,1.3604e+03,1.1203e+03,1.2803e+03,1.1203e+03,1.2003e+03,1.3203e+03,4.4004e+02,3.6003e+02,0.0000e+00,3.2002e+02,2.4001e+02,2.4001e+02,3.2002e+02,4.4004e+02
2021-01-06 03:45:00 UTC,1.2000e+02,1.2003e+03,1.1203e+03,1.2003e+03,1.2003e+03,1.1203e+03,1.7206e+03,1.4804e+03,9.6018e+02,1.4004e+03,1.3203e+03,1.2403e+03,1.3203e+03,4.4004e+02,3.6003e+02,0.0000e+00,1.6001e+02,2.8002e+02,2.8002e+02,2.8002e+02,3.2002e+02
2021-01-06 04:00:00 UTC,1.6001e+02,1.3203e+03,1.1203e+03,1.0802e+03,1.1203e+03,1.2003e+03,1.6005e+03,1.2803e+03,1.0002e+03,1.4804e+03,1.1603e+03,1.1203e+03,1.4804e+03,4.0003e+02,3.2002e+02,0.0000e+00,2.8002e+02,1.2000e+02,2.8002e+02,3.2002e+02,3.6003e+02
2021-01-06 04:15:00 UTC,1.6001e+02,1.2403e+03,1.3203e+03,1.0002e+03,1.2003e+03,1.2803e+03,1.5205e+03,1.3203e+03,1.2403e+03,1.4004e+03,1.1603e+03,1.1203e+03,1.3203e+03,3.2002e+02,6.0007e+02,0.0000e+00,2.8002e+02,1.6001e+02,2.4001e+02,2.8002e+02,4.0003e+02
2021-01-06 04:30:00 UTC,3.2002e+02,1.2003e+03,1.1202e+03,1.0802e+03,1.1202e+03,1.0802e+03,1.4404e+03,1.4804e+03,1.2003e+03,1.4404e+03,1.3203e+03,1.2803e+03,1.3203e+03,4.8005e+02,5.6006e+02,0.0000e+00,1.6001e+02,2.0001e+02,3.2002e+02,2.8002e+02,3.6003e+02
2021-01-06 04:45:00 UTC,2.4001e+02,1.2403e+03,1.1203e+03,1.1603e+03,1.0402e+03,1.2003e+03,1.3604e+03,1.3203e+03,1.1603e+03,1.4804e+03,1.0802e+03,1.2403e+03,1.4404e+03,3.2002e+02,6.0007e+02,0.0000e+00,3.6003e+02,8.0001e+01,2.8002e+02,2.8002e+02,4.0003e+02
2021-01-06 05:00:00 UTC,3.2002e+02,1.2803e+03,1.2403e+03,9.6018e+02,1.2403e+03,1.2403e+03,1.5205e+03,1.2803e+03,1.0002e+03,1.4404e+03,1.3604e+03,1.2803e+03,1.3604e+03,2.8002e+02,3.6003e+02,0.0000e+00,2.0001e+02,2.0001e+02,2.0001e+02,2.4001e+02,1.5205e+03
2021-01-06 05:15:00 UTC,3.2002e+02,1.1603e+03,1.2403e+03,1.1203e+03,1.2003e+03,1.0802e+03,1.4404e+03,1.4004e+03,1.0002e+03,1.5605e+03,1.8407e+03,1.2003e+03,1.3203e+03,2.8002e+02,2.8002e+02,0.0000e+00,2.8002e+02,8.0001e+01,2.8002e+02,2.4001e+02,1.4804e+03
2021-01-06 05:30:00 UTC,2.8002e+02,1.2403e+03,1.0802e+03,1.1203e+03,1.0802e+03,1.2403e+03,1.5205e+03,1.2803e+03,1.1603e+03,1.4804e+03,1.5205e+03,1.0402e+03,1.4004e+03,3.6003e+02,2.0001e+02,0.0000e+00,2.4001e+02,1.6001e+02,2.4001e+02,2.8002e+02,6.4008e+02
2021-01-06 05:45:00 UTC,2.4001e+02,1.2803e+03,1.2403e+03,1.0802e+03,1.2003e+03,1.2003e+03,1.5605e+03,1.3203e+03,1.0802e+03,1.3203e+03,1.4004e+03,1.2003e+03,1.2403e+03,3.2002e+02,3.6003e+02,0.0000e+00,2.0001e+02,2.0001e+02,2.4001e+02,2.8002e+02,2.4001e+02
2021-01-06 06:00:00 UTC,6.4008e+02,1.2403e+03,1.1203e+03,1.0402e+03,1.2003e+03,1.1203e+03,1.3604e+03,1.4004e+03,9.2017e+02,1.5205e+03,1.5605e+03,1.2403e+03,1.3604e+03,2.8002e+02,2.8002e+02,0.0000e+00,2.8002e+02,8.0001e+01,2.4001e+02,2.8002e+02,2.8002e+02
2021-01-06 06:15:00 UTC,6.8009e+02,1.1603e+03,1.2003e+03,1.2003e+03,1.1203e+03,1.2003e+03,1.4404e+03,1.3604e+03,1.2003e+03,1.6005e+03,1.3203e+03,1.0402e+03,1.4804e+03,3.6003e+02,1.6001e+02,0.0000e+00,6.0007e+02,4.4004e+02,5.6006e+02,4.8005e+02,5.2005e+02
2021-01-06 06:30:00 UTC,5.6006e+02,1.2403e+03,1.2403e+03,1.0002e+03,1.2003e+03,1.2403e+03,1.4404e+03,1.4004e+03,1.0402e+03,1.3604e+03,1.3604e+03,1.2403e+03,1.4004e+03,2.8002e+02,4.0003e+02,0.0000e+00,6.0007e+02,5.6006e+02,6.4008e+02,6.8009e+02,6.0007e+02
2021-01-06 06:45:00 UTC,5.2005e+02,1.2803e+03,1.1203e+03,1.0802e+03,1.1203e+03,1.2003e+03,1.3203e+03,1.5605e+03,1.0002e+03,1.4804e+03,1.5205e+03,1.1603e+03,1.4004e+03,2.8002e+02,2.8002e+02,0.0000e+00,5.2005e+02,6.4008e+02,6.4008e+02,6.8009e+02,8.0013e+02
2021-01-06 07:00:00 UTC,5.2005e+02,1.2003e+03,1.1603e+03,1.1603e+03,1.1603e+03,1.1203e+03,1.4404e+03,1.5205e+03,1.1203e+03,1.4404e+03,1.3604e+03,1.1203e+03,1.4404e+03,4.0003e+02,1.6001e+02,0.0000e+00,6.4008e+02,6.8009e+02,7.2010e+02,1.3604e+03,6.0007e+02
2021-01-06 07:15:00 UTC,5.6006e+02,1.1603e+03,1.2803e+03,1.0002e+03,1.4004e+03,1.3204e+03,1.8807e+03,1.5605e+03,1.0002e+03,1.4404e+03,1.2403e+03,1.1603e+03,1.2403e+03,4.4004e+02,3.6003e+02,0.0000e+00,7.6012e+02,8.0013e+02,7.6012e+02,9.6019e+02,4.0003e+02
2021-01-06 07:30:00 UTC,1.0002e+03,1.3204e+03,1.1203e+03,1.0802e+03,1.3204e+03,1.0802e+03,2.2410e+03,1.5605e+03,1.0002e+03,1.4804e+03,1.4404e+03,1.2403e+03,1.3204e+03,6.4008e+02,5.6006e+02,0.0000e+00,8.4014e+02,1.8404e+03,5.6006e+02,8.8016e+02,2.4001e+02
2021-01-06 07:45:00 UTC,8.8016e+02,1.2003e+03,1.0402e+03,1.1203e+03,1.2003e+03,1.2003e+03,2.5213e+03,1.4004e+03,1.1603e+03,1.5205e+03,1.2403e+03,1.0402e+03,1.4804e+03,9.6019e+02,6.0007e+02,0.0000e+00,8.0013e+02,3.0415e+03,3.6003e+02,8.4014e+02,4.4004e+02
2021-01-06 08:00:00 UTC,8.8016e+02,1.2003e+03,1.3604e+03,1.0802e+03,1.3204e+03,1.3204e+03,1.9207e+03,1.4404e+03,1.0402e+03,1.3604e+03,1.2803e+03,1.2403e+03,1.2803e+03,8.8016e+02,6.8009e+02,0.0000e+00,8.8016e+02,2.2809e+03,8.0013e+02,9.2017e+02,9.2017e+02
2021-01-06 08:15:00 UTC,8.8016e+02,1.3604e+03,1.2403e+03,1.0002e+03,1.2403e+03,1.0402e+03,1.6005e+03,1.5205e+03,9.2017e+02,1.4804e+03,1.4004e+03,1.3204e+03,1.3204e+03,8.8016e+02,8.0013e+02,0.0000e+00,8.8016e+02,1.6404e+03,9.2017e+02,7.6012e+02,9.2017e+02
